阿姨,"āyí","aunt","hsk3"
啊,"a","ah","hsk3"
矮,"ǎi","short","hsk3"
爱好,"àihào","hobby","hsk3"
安静,"ānjìng","Be quiet","hsk3"
把,"bǎ","hold","hsk3"
班,"bān","class","hsk3"
搬,"bān","move","hsk3"
半,"bàn","half","hsk3"
办法,"bànfǎ","Way","hsk3"
办公室,"bàngōngshì","Office","hsk3"
帮忙,"bāngmáng","Help","hsk3"
包,"bāo","package","hsk3"
饱,"bǎo","full","hsk3"
北方,"běifāng","north","hsk3"
被,"bèi","cover","hsk3"
鼻子,"bízi","nose","hsk3"
比较,"bǐjiào","compare","hsk3"
比赛,"bǐsài","Match","hsk3"
笔记本,"bǐjìběn","notebook","hsk3"
必须,"bìxū","Must","hsk3"
变化,"biànhuà","change","hsk3"
别人,"biéren","Others","hsk3"
冰箱,"bīngxiāng","Refrigerator","hsk3"
菜单,"càidān","menu","hsk3"
参加,"cānjiā","participate in","hsk3"
草,"cǎo","grass","hsk3"
层,"céng","layer","hsk3"
差,"chà","bad","hsk3"
超市,"chāoshì","Supermarket","hsk3"
衬衫,"chènshān","shirt","hsk3"
成绩,"chéngjì","achievement","hsk3"
城市,"chéngshì","City","hsk3"
迟到,"chídào","Late","hsk3"
除了,"chúle","except, besides","hsk3"
船,"chuán","ship","hsk3"
春,"chūn","spring","hsk3"
词典,"cídiǎn","Dictionaries","hsk3"
聪明,"cōngming","clever","hsk3"
打扫,"dǎsǎo","Clean","hsk3"
打算,"dǎsuàn","Plan","hsk3"
带,"dài","belt","hsk3"
担心,"dānxīn","Worry","hsk3"
蛋糕,"dàngāo","Cake","hsk3"
当然,"dāngrán","Of course","hsk3"
地,"de","adverbial particle","hsk3"
灯,"dēng","lamp","hsk3"
地方,"dìfang","local","hsk3"
地铁,"dìtiě","metro","hsk3"
地图,"dìtú","Map","hsk3"
电梯,"diàntī","Elevator","hsk3"
电子邮件,"diànzǐyóujiàn","E-mail","hsk3"
东,"dōng","east","hsk3"
冬,"dōng","winter","hsk3"
动物,"dòngwù","Animal","hsk3"
短,"duǎn","short","hsk3"
段,"duàn","paragraph","hsk3"
锻炼,"duànliàn","Physical exercise","hsk3"
多么,"duōme","such","hsk3"
饿,"è","hungry","hsk3"
不但……而且……,"búdàn...érqiě…","not only…but also…","hsk3"
耳朵,"ěrduo","Ears","hsk3"
发,"fā","send out","hsk3"
发烧,"fāshāo","Have a fever","hsk3"
发现,"fāxiàn","find, discover","hsk3"
方便,"fāngbiàn","convenient","hsk3"
放,"fàng","discharge","hsk3"
放心,"fàngxīn","Don't worry","hsk3"
分,"fēn","minute","hsk3"
附近,"fùjìn","nearby","hsk3"
复习,"fùxí","Review","hsk3"
干净,"gānjìng","clean","hsk3"
感兴趣,"gǎnxìngqù","be intretested in","hsk3"
感冒,"gǎnmào","get a cold","hsk3"
刚才,"gāngcái","just","hsk3"
个子,"gèzi","height","hsk3"
跟,"gēn","with","hsk3"
根据,"gēnjù","according to","hsk3"
更,"gèng","more","hsk3"
公斤,"gōngjīn","Kg.","hsk3"
公园,"gōngyuán","Park","hsk3"
故事,"gùshi","Story","hsk3"
刮风,"guāfēng","Windy","hsk3"
关,"guān","shut","hsk3"
关系,"guānxì","relationship","hsk3"
关心,"guānxīn","Care for","hsk3"
关于,"guānyú","about","hsk3"
国家,"guójiā","Country","hsk3"
过去,"guòqù","Past times","hsk3"
过（动词）,"guò","pass","hsk3"
还是,"háishì","still","hsk3"
害怕,"hàipà","Fear","hsk3"
黑板,"hēibǎn","blackboard","hsk3"
后来,"hòulái","later","hsk3"
护照,"hùzhào","passport","hsk3"
花（动词）,"huā","spend","hsk3"
花（名词）,"huā","flower","hsk3"
画,"huà","painting","hsk3"
坏,"huài","bad","hsk3"
欢迎,"huānyíng","Welcome","hsk3"
还（动词）,"huán","Return","hsk3"
环境,"huánjìng","Environment","hsk3"
换,"huàn","change","hsk3"
黄河,"huánghé","Yellow River","hsk3"
回答,"huídá","Answer","hsk3"
会议,"huìyì","Meeting","hsk3"
或者,"huòzhě","perhaps","hsk3"
几乎,"jīhū","almost","hsk3"
机会,"jīhuì","Opportunity","hsk3"
极,"jí","extremely","hsk3"
记得,"jìde","remember","hsk3"
季节,"jìjié","Season","hsk3"
检查,"jiǎnchá","inspect","hsk3"
