挨,"ái","Next to","hsk6"
癌症,"áizhèng","cancer","hsk6"
爱不释手,"àibúshìshǒu","So much that one cannot bear to part with it","hsk6"
爱戴,"àidài","love and esteem","hsk6"
暧昧,"àimèi","ambiguous","hsk6"
安宁,"ānníng","peaceful; calm","hsk6"
安详,"ānxiáng","serene; composed","hsk6"
安置,"ānzhì","put; arrange for","hsk6"
暗示,"ànshì","suggest secretly","hsk6"
案件,"ànjiàn","law case; case","hsk6"
案例,"ànlì","case","hsk6"
按摩,"ànmó","massage","hsk6"
昂贵,"ángguì","expensive","hsk6"
凹凸,"āotū","concave-convex","hsk6"
熬,"áo","Boil","hsk6"
奥秘,"àomì","secret","hsk6"
扒,"bā","hold on to; dig up; push aside;","hsk6"
疤,"bā","scar","hsk6"
巴不得,"bābude","eagerly look forward to","hsk6"
巴结,"bājié","stutter","hsk6"
拔苗助长,"bámiáozhùzhǎng","Spoil things by excessive enthusiasm","hsk6"
把关,"bǎguān","hold the pass","hsk6"
把手,"bǎshou","knob","hsk6"
霸道,"bàdào","overbearing","hsk6"
罢工,"bàgōng","Strike","hsk6"
掰,"bāi","break off with fingers and thumb","hsk6"
摆脱,"bǎituō","cast off","hsk6"
拜访,"bàifǎng","visit","hsk6"
拜年,"bàinián","congratulate the New Year","hsk6"
拜托,"bàituō","request","hsk6"
败坏,"bàihuài","Corrupt","hsk6"
斑,"bān","speckle","hsk6"
颁布,"bānbù","promulgate; issue","hsk6"
颁发,"bānfā","award; issue","hsk6"
版本,"bǎnběn","Edition","hsk6"
半途而废,"bàntú'érfèi","Give up halfway","hsk6"
伴侣,"bànlǚ","partner; mate","hsk6"
伴随,"bànsuí","go with","hsk6"
扮演,"bànyǎn","Play the role","hsk6"
绑架,"bǎngjià","Kidnap","hsk6"
榜样,"bǎngyàng","example","hsk6"
磅,"bàng","pound","hsk6"
包庇,"bāobì","Shield","hsk6"
包袱,"bāofu","Burden","hsk6"
包围,"bāowéi","Surround","hsk6"
包装,"bāozhuāng","pack; put up; make up","hsk6"
饱和,"bǎohé","saturated","hsk6"
饱经沧桑,"bǎojīngcāngsāng","Have seen much of the changes in human life","hsk6"
保管,"bǎoguǎn","Safekeeping","hsk6"
保密,"bǎomì","secrecy","hsk6"
保姆,"bǎomǔ","nurse; mammy","hsk6"
保守,"bǎoshǒu","Conservative","hsk6"
保卫,"bǎowèi","Defend","hsk6"
保养,"bǎoyǎng","maintain","hsk6"
保障,"bǎozhàng","guarantee","hsk6"
保重,"bǎozhòng","take care of oneself","hsk6"
抱负,"bàofù","ambition","hsk6"
报仇,"bàochóu","revenge","hsk6"
报酬,"bàochou","remuneration","hsk6"
报答,"bàodá","reciprocate; pay back; repay","hsk6"
报复,"bàofù","Payback","hsk6"
报警,"bàojǐng","call the police","hsk6"
报销,"bàoxiāo","submit and expense account","hsk6"
爆发,"bàofā","burst","hsk6"
爆炸,"bàozhà","blast","hsk6"
曝光,"bàoguāng","exposure","hsk6"
暴力,"bàolì","violence","hsk6"
暴露,"bàolù","Expose","hsk6"
悲哀,"bēi'āi","Grief","hsk6"
悲惨,"bēicǎn","miserable","hsk6"
卑鄙,"bēibǐ","despicable","hsk6"
北极,"běijí","arctic","hsk6"
被动,"bèidòng","passive","hsk6"
被告,"bèigào","Defendant","hsk6"
背叛,"bèipàn","sellout; betray","hsk6"
背诵,"bèisòng","recite","hsk6"
备份,"bèifèn","backups","hsk6"
备忘录,"bèiwànglù","Memorandum","hsk6"
贝壳,"bèikè","shell; conch","hsk6"
奔波,"bēnbō","rush about","hsk6"
奔驰,"bēnchí","run quickly","hsk6"
本能,"běnnéng","instinct","hsk6"
本钱,"běnqián","Capital","hsk6"
本人,"běnrén","oneself","hsk6"
本身,"běnshēn","itself","hsk6"
本事,"běnshi","Skill","hsk6"
笨拙,"bènzhuō","clumsy","hsk6"
崩溃,"bēngkuì","collapse breakdown","hsk6"
甭,"béng","Not","hsk6"
蹦,"bèng","Jump","hsk6"
迸发,"bèngfā","Burst","hsk6"
逼迫,"bīpò","force; compel","hsk6"
鼻涕,"bítì","nasal mucus","hsk6"
比方,"bǐfāng","Example","hsk6"
比喻,"bǐyù","comparison; trope","hsk6"
比重,"bǐzhòng","specific gravity; proportion","hsk6"
鄙视,"bǐshì","despise","hsk6"
